year,activity,employment,output
2009,CNST_main_xxx,18872,4220798041
2009,CNST_nres_xxx,19726,4148317209
2009,CNST_offc_off,44038,0
2009,CNST_othr_xxx,23651,5113247326
2009,CNST_res_xxx,22968,4576286903
2009,ENGY_elec_hi,3448,7522166461
2009,ENGY_ngas_hi,475,601577281
2009,ENGY_offc_off,17595,0
2009,ENGY_ptrl_hi,6524,3197380989
2009,ENT_ent_ret,56737,3298034193
2009,FIRE_fnin_off,108995,21451927014
2009,FIRE_real_off,118740,21849803293
2009,GOV_admn_gov,66790,12484017927
2009,GOV_offc_off,106562,0
2009,HIED_hied_off_inst,46920,2319076133
2009,HLTH_care_inst,51526,2702411533
2009,HLTH_hosp_hosp,57857,8237728511
2009,HLTH_othr_off_li,107575,11523670212
2009,HOSP_acc_acc,19271,1783884960
2009,HOSP_eat_ret_acc,171303,9911887609
2009,INFO_info_off,38793,0
2009,INFO_info_off_li,7924,11975974498
2009,K12_k12_k12,120008,11835951111
2009,K12_k12_off,40076,0
2009,MFG_food_hi,12500,8017372021
2009,MFG_food_li,12604,8017372021
2009,MFG_htec_hi,2775,17428600594
2009,MFG_htec_li,2547,17428600594
2009,MFG_hvtw_hi,17255,9693389640
2009,MFG_hvtw_li,17403,9693389640
2009,MFG_lvtw_hi,10991,9238434690
2009,MFG_offc_off,114809,0
2009,MFG_wdppr_hi,19497,9080911436
2009,RES_agmin_ag,66575,6675981286
2009,RES_forst_log,6941,880343133
2009,RES_offc_off,42966,0
2009,RET_auto_ret,63955,5227469263
2009,RET_nstor_off,30281,2521990237
2009,RET_stor_off,39396,0
2009,RET_stor_ret,158755,10281837559
2009,SERV_bus_off,114286,15184638156
2009,SERV_home_xxx,21882,224509035
2009,SERV_nonp_off_inst,85283,4468982697
2009,SERV_site_li,57676,4148527587
2009,SERV_stor_ret,66156,2595944084
2009,SERV_tech_off,167192,23168708140
2009,TRNS_trns_off,31970,0
2009,TRNS_trns_ware,46979,11605859809
2009,UTL_othr_off,11911,0
2009,UTL_othr_off_li,14360,6282940629
2009,WHSL_offc_off,20429,0
2009,WHSL_whsl_ware,63567,13669525244
2010,CNST_main_xxx,17232,3744435502
2010,CNST_nres_xxx,18012,3607467840
2010,CNST_offc_off,40212,0
2010,CNST_othr_xxx,21596,4446592282
2010,CNST_res_xxx,20972,4436069363
2010,ENGY_elec_hi,3429,7710407401
2010,ENGY_ngas_hi,463,606530151
2010,ENGY_offc_off,17147,0
2010,ENGY_ptrl_hi,6307,3247183605
2010,ENT_ent_ret,56517,3314389317
2010,FIRE_fnin_off,106168,21532342219
2010,FIRE_real_off,115660,22257885619
2010,GOV_admn_gov,67379,12571838589
2010,GOV_offc_off,107502,0
2010,HIED_hied_off_inst,48354,2371289445
2010,HLTH_care_inst,52633,2750678246
2010,HLTH_hosp_hosp,59101,8384859349
2010,HLTH_othr_off_li,109887,11729489966
2010,HOSP_acc_acc,19197,1790603613
2010,HOSP_eat_ret_acc,170638,9949218790
2010,INFO_info_off,37612,0
2010,INFO_info_off_li,7683,12244913792
2010,K12_k12_k12,118893,11633653853
2010,K12_k12_off,39707,0
2010,MFG_food_hi,12792,8451721899
2010,MFG_food_li,12899,8451721899
2010,MFG_htec_hi,2729,16427492040
2010,MFG_htec_li,2505,16427492040
2010,MFG_hvtw_hi,16780,9896414023
2010,MFG_hvtw_li,16924,9896414023
2010,MFG_lvtw_hi,10663,9453885851
2010,MFG_offc_off,112627,0
2010,MFG_wdppr_hi,18614,8618009101
2010,RES_agmin_ag,64629,6512976814
2010,RES_forst_log,6738,876194502
2010,RES_offc_off,41711,0
2010,RET_auto_ret,63315,5308411716
2010,RET_nstor_off,30240,2603369305
2010,RET_stor_off,39343,0
2010,RET_stor_ret,158543,10620631968
2010,SERV_bus_off,115867,15291877932
2010,SERV_home_xxx,21471,222940267
2010,SERV_nonp_off_inst,85175,4468864549
2010,SERV_site_li,57817,4195186553
2010,SERV_stor_ret,65637,2599952743
2010,SERV_tech_off,169506,23830149856
2010,TRNS_trns_off,31370,0
2010,TRNS_trns_ware,46097,11713475580
2010,UTL_othr_off,11743,0
2010,UTL_othr_off_li,14158,6342193514
2010,WHSL_offc_off,19770,0
2010,WHSL_whsl_ware,61519,13874245595
2011,CNST_main_xxx,17480,3643697487
2011,CNST_nres_xxx,18271,3485071313
2011,CNST_offc_off,40790,0
2011,CNST_othr_xxx,21906,4295725393
2011,CNST_res_xxx,21273,4447950688
2011,ENGY_elec_hi,3368,7768379869
2011,ENGY_ngas_hi,474,632340602
2011,ENGY_offc_off,17197,0
2011,ENGY_ptrl_hi,6368,3312488541
2011,ENT_ent_ret,57653,3405594240
2011,FIRE_fnin_off,104458,21569388368
2011,FIRE_real_off,113797,22395291536
2011,GOV_admn_gov,66210,12742664021
2011,GOV_offc_off,105636,0
2011,HIED_hied_off_inst,49778,2368686240
2011,HLTH_care_inst,53714,2834840401
2011,HLTH_hosp_hosp,60315,8641409834
2011,HLTH_othr_off_li,112143,12088375693
2011,HOSP_acc_acc,19582,1800277856
2011,HOSP_eat_ret_acc,174066,10002972259
2011,INFO_info_off,37563,0
2011,INFO_info_off_li,7673,12662607513
2011,K12_k12_k12,117629,11166234487
2011,K12_k12_off,39288,0
2011,MFG_food_hi,13018,8657014948
2011,MFG_food_li,13127,8657014948
2011,MFG_htec_hi,2832,16366299179
2011,MFG_htec_li,2599,16366299179
2011,MFG_hvtw_hi,17425,10435826116
2011,MFG_hvtw_li,17575,10435826116
2011,MFG_lvtw_hi,11017,9822340578
2011,MFG_offc_off,115924,0
2011,MFG_wdppr_hi,18059,8391405571
2011,RES_agmin_ag,67706,6515604878
2011,RES_forst_log,7059,938371851
2011,RES_offc_off,43697,0
2011,RET_auto_ret,63710,5355220054
2011,RET_nstor_off,30532,2667423039
2011,RET_stor_off,39723,0
2011,RET_stor_ret,160073,10904765188
2011,SERV_bus_off,119907,15453029166
2011,SERV_home_xxx,21562,225360527
2011,SERV_nonp_off_inst,86155,4530355865
2011,SERV_site_li,59182,4264293868
2011,SERV_stor_ret,66153,2631913008
2011,SERV_tech_off,175416,24223337396
2011,TRNS_trns_off,31750,0
2011,TRNS_trns_ware,46655,11815443725
2011,UTL_othr_off,11646,0
2011,UTL_othr_off_li,14041,6329546640
2011,WHSL_offc_off,19993,0
2011,WHSL_whsl_ware,62213,14148534026
2012,CNST_main_xxx,17798,3765619619
2012,CNST_nres_xxx,18604,3520911519
2012,CNST_offc_off,41534,0
2012,CNST_othr_xxx,22306,4339902302
2012,CNST_res_xxx,21661,5015027570
2012,ENGY_elec_hi,3342,7902757605
2012,ENGY_ngas_hi,480,654206844
2012,ENGY_offc_off,17364,0
2012,ENGY_ptrl_hi,6472,3395505437
2012,ENT_ent_ret,59223,3464356997
2012,FIRE_fnin_off,103083,21019999687
2012,FIRE_real_off,112300,21744065254
2012,GOV_admn_gov,65313,12887887879
2012,GOV_offc_off,104206,0
2012,HIED_hied_off_inst,50613,2388915685
2012,HLTH_care_inst,54493,2878113855
2012,HLTH_hosp_hosp,61189,8773319781
2012,HLTH_othr_off_li,113769,12272903105
2012,HOSP_acc_acc,20116,1822518266
2012,HOSP_eat_ret_acc,178807,10126547744
2012,INFO_info_off,38113,0
2012,INFO_info_off_li,7785,13058368226
2012,K12_k12_k12,117006,11015599351
2012,K12_k12_off,39082,0
2012,MFG_food_hi,13333,8827167880
2012,MFG_food_li,13445,8827167880
2012,MFG_htec_hi,2875,17282857728
2012,MFG_htec_li,2638,17282857728
2012,MFG_hvtw_hi,17849,10984282280
2012,MFG_hvtw_li,18002,10984282280
2012,MFG_lvtw_hi,11250,10262087816
2012,MFG_offc_off,118404,0
2012,MFG_wdppr_hi,18472,8892207408
2012,RES_agmin_ag,69542,6377498432
2012,RES_forst_log,7250,923380210
2012,RES_offc_off,44881,0
2012,RET_auto_ret,64358,5411420119
2012,RET_nstor_off,30932,2754729792
2012,RET_stor_off,40242,0
2012,RET_stor_ret,162167,11247560823
2012,SERV_bus_off,124173,15571818210
2012,SERV_home_xxx,21754,228290849
2012,SERV_nonp_off_inst,87136,4584995585
2012,SERV_site_li,60706,4325971198
2012,SERV_stor_ret,66770,2649009358
2012,SERV_tech_off,181657,24785821202
2012,TRNS_trns_off,32005,0
2012,TRNS_trns_ware,47030,11888389737
2012,UTL_othr_off,11605,0
2012,UTL_othr_off_li,13992,6372246100
2012,WHSL_offc_off,20313,0
2012,WHSL_whsl_ware,63209,14488699286
2013,CNST_main_xxx,18885,3917889281
2013,CNST_nres_xxx,19740,3558014221
2013,CNST_offc_off,44070,0
2013,CNST_othr_xxx,23668,4385635375
2013,CNST_res_xxx,22984,5762910084
2013,ENGY_elec_hi,3328,8039400934
2013,ENGY_ngas_hi,488,675961838
2013,ENGY_offc_off,17823,0
2013,ENGY_ptrl_hi,6723,3564608103
2013,ENT_ent_ret,61492,3507209900
2013,FIRE_fnin_off,104314,21198995714
2013,FIRE_real_off,113640,21675589629
2013,GOV_admn_gov,65026,12949195403
2013,GOV_offc_off,103748,0
2013,HIED_hied_off_inst,51237,2373176516
2013,HLTH_care_inst,55636,2901876256
2013,HLTH_hosp_hosp,62472,8845754423
2013,HLTH_othr_off_li,116155,12374231151
2013,HOSP_acc_acc,20886,1834613135
2013,HOSP_eat_ret_acc,185656,10193751059
2013,INFO_info_off,38255,0
2013,INFO_info_off_li,7815,13140962563
2013,K12_k12_k12,116437,10755807128
2013,K12_k12_off,38894,0
2013,MFG_food_hi,13905,9186293142
2013,MFG_food_li,14022,9186293142
2013,MFG_htec_hi,2853,17528617206
2013,MFG_htec_li,2618,17528617206
2013,MFG_hvtw_hi,18037,11118648476
