year,res_or_non_res,dollars
2009,residential,3562029859
2009,non_residential,8848738661
2010,residential,3452889179
2010,non_residential,7695057666
2011,residential,3462137208
2011,non_residential,7433974720
2012,residential,3903531034
2012,non_residential,7510425145
2013,residential,4485657964
2013,non_residential,7589568590
2014,residential,4945249158
2014,non_residential,8302127284
2015,residential,5433688627
2015,non_residential,8787682266
2016,residential,8935249648
2016,non_residential,9949213710
2017,residential,6362303630
2017,non_residential,9548425816
2018,residential,6816462019
2018,non_residential,9856829873
2019,residential,7333798039
2019,non_residential,10507558851
2020,residential,7501463653
2020,non_residential,10620899841
2021,residential,7612556251
2021,non_residential,10535674490
2022,residential,7789630968
2022,non_residential,10544915121
2023,residential,7954753874
2023,non_residential,10550324431
2024,residential,7846474848
2024,non_residential,10385568156
2025,residential,7654459255
2025,non_residential,10248738853
2026,residential,7598734567
2026,non_residential,10352817643
2027,residential,7552115467
2027,non_residential,10427774565
2028,residential,7521370378
2028,non_residential,10561928833
2029,residential,7657949676
2029,non_residential,10798877343
2030,residential,7798231119
2030,non_residential,11000378767
2031,residential,7902032594
2031,non_residential,11174128955
2032,residential,7924118925
2032,non_residential,11374108141
2033,residential,7999885446
2033,non_residential,11605995479
2034,residential,8152488026
2034,non_residential,11798084947
2035,residential,8288854273
2035,non_residential,11933823902
2036,residential,8449030704
2036,non_residential,12159205705
2037,residential,8533601381
2037,non_residential,12395937766
2038,residential,8604175467
2038,non_residential,12625542462
2039,residential,8636356261
2039,non_residential,12845393922
2040,residential,8705280595
2040,non_residential,13084767210
2041,residential,8792912050
2041,non_residential,13328852588
2042,residential,8852506271
2042,non_residential,13552880872
2043,residential,8964621105
2043,non_residential,13802211412
2044,residential,9126587962
2044,non_residential,14060332149
2045,residential,9316849251
2045,non_residential,14320438194
2046,residential,9497707956
2046,non_residential,14572418735
2047,residential,9654614726
2047,non_residential,14819369099
2048,residential,9796642479
2048,non_residential,15072178863
2049,residential,9940759584
2049,non_residential,15329301414
2050,residential,10086996776
2050,non_residential,15590810325
2051,residential,10235385244
2051,non_residential,15856780425
2052,residential,10385956636
2052,non_residential,16127287820
2053,residential,10538743062
2053,non_residential,16402409912
2054,residential,10693777110
2054,non_residential,16682225426
2055,residential,10851091843
2055,non_residential,16966814429
2056,residential,11010720812
2056,non_residential,17256258354
2057,residential,11172698062
2057,non_residential,17550640023
2058,residential,11337058138
2058,non_residential,17850043670
2059,residential,11503836092
2059,non_residential,18154554969
2060,residential,11673067495
2060,non_residential,18464261053
