year,activity,dollars
2009,FGOV_acct_gov,72428537077
2009,SLGOV_acct_gov,55352115309
2009,CAP_acct_gov,54781655368
2010,FGOV_acct_gov,71623441564
2010,SLGOV_acct_gov,54726814681
2010,CAP_acct_gov,54252197413
2011,FGOV_acct_gov,72704010132
2011,SLGOV_acct_gov,55566278041
2011,CAP_acct_gov,54961405566
2012,FGOV_acct_gov,73902225250
2012,SLGOV_acct_gov,56497390507
2012,CAP_acct_gov,55746124046
2013,FGOV_acct_gov,75974345191
2013,SLGOV_acct_gov,58108343594
2013,CAP_acct_gov,57098171866
2014,FGOV_acct_gov,78304631465
2014,SLGOV_acct_gov,59920921938
2014,CAP_acct_gov,58612550133
2015,FGOV_acct_gov,81245534375
2015,SLGOV_acct_gov,62209875559
2015,CAP_acct_gov,60514334953
2016,FGOV_acct_gov,84161434992
2016,SLGOV_acct_gov,64480712154
2016,CAP_acct_gov,62391074364
2017,FGOV_acct_gov,86065003028
2017,SLGOV_acct_gov,65963167329
2017,CAP_acct_gov,63616253692
2018,FGOV_acct_gov,88611684068
2018,SLGOV_acct_gov,67947186847
2018,CAP_acct_gov,65250577024
2019,FGOV_acct_gov,90250281882
2019,SLGOV_acct_gov,69224351824
2019,CAP_acct_gov,66298203255
2020,FGOV_acct_gov,89997379828
2020,SLGOV_acct_gov,69027173504
2020,CAP_acct_gov,66136905816
2021,FGOV_acct_gov,89744606611
2021,SLGOV_acct_gov,68830104758
2021,CAP_acct_gov,65975630839
2022,FGOV_acct_gov,89491959045
2022,SLGOV_acct_gov,68633143113
2022,CAP_acct_gov,65814376193
2023,FGOV_acct_gov,91363937884
2023,SLGOV_acct_gov,70092452181
2023,CAP_acct_gov,67009628563
2024,FGOV_acct_gov,91370423406
2024,SLGOV_acct_gov,70097509704
2024,CAP_acct_gov,67013758365
2025,FGOV_acct_gov,91739871352
2025,SLGOV_acct_gov,70385611975
2025,CAP_acct_gov,67249010471
2026,FGOV_acct_gov,92657211426
2026,SLGOV_acct_gov,71101018016
2026,CAP_acct_gov,67832831940
2027,FGOV_acct_gov,93466352513
2027,SLGOV_acct_gov,71732145831
2027,CAP_acct_gov,68347120545
2028,FGOV_acct_gov,94105407830
2028,SLGOV_acct_gov,72230678305
2028,CAP_acct_gov,68752839506
2029,FGOV_acct_gov,94871066513
2029,SLGOV_acct_gov,72828041962
2029,CAP_acct_gov,69238500466
2030,FGOV_acct_gov,95698960391
2030,SLGOV_acct_gov,73474047134
2030,CAP_acct_gov,69763078941
2031,FGOV_acct_gov,96318898885
2031,SLGOV_acct_gov,73957853769
2031,CAP_acct_gov,70155442755
2032,FGOV_acct_gov,96915524888
2032,SLGOV_acct_gov,74423516456
2032,CAP_acct_gov,70532731598
2033,FGOV_acct_gov,97473797396
2033,SLGOV_acct_gov,74859288684
2033,CAP_acct_gov,70885480375
2034,FGOV_acct_gov,98039711258
2034,SLGOV_acct_gov,75301067224
2034,CAP_acct_gov,71242787484
2035,FGOV_acct_gov,98623845575
2035,SLGOV_acct_gov,75757112857
2035,CAP_acct_gov,71611318060
2036,FGOV_acct_gov,99233531693
2036,SLGOV_acct_gov,76233153752
2036,CAP_acct_gov,71995669016
2037,FGOV_acct_gov,99833857572
2037,SLGOV_acct_gov,76701933647
2037,CAP_acct_gov,72373812754
2038,FGOV_acct_gov,100480177782
2038,SLGOV_acct_gov,77206679394
2038,CAP_acct_gov,72780605556
2039,FGOV_acct_gov,101104463233
2039,SLGOV_acct_gov,77694268694
2039,CAP_acct_gov,73173196618
2040,FGOV_acct_gov,101785233325
2040,SLGOV_acct_gov,78226028608
2040,CAP_acct_gov,73600960480
2041,FGOV_acct_gov,102389311392
2041,SLGOV_acct_gov,78697935203
2041,CAP_acct_gov,73980200095
2042,FGOV_acct_gov,103051148524
2042,SLGOV_acct_gov,79215013510
2042,CAP_acct_gov,74395377714
2043,FGOV_acct_gov,103763339738
